Department;Month;Budget;Actual;Variance;Variance_pct
Customer Success;2024-01-01;1363;1476;113;0,0829
Customer Success;02-01-2024;139699;R$ 133457;-6242;-0,0447
Customer Success;03-01-2024;105579;105526;-53;-0,0005
customer success;04-01-2024;49083;47323;-1760;-0,0359
Customer Success;01/05/2024;24951;R$ 23984;-967;-0,0388
Customer Success;2024-06-01;80494;R$ 73783;-6711;-0,0834
customer success;07-01-2024;559505;570539;11034;0,0197
customer success;2024-08-01;76288;76324;36;0,0005
customer success;09-01-2024;142939;131398;-11541;-0,0807
Customer Success;10-01-2024;237254;227800;-9454;-0,0398
Customer Success;01/11/2024;88324;94814;6490;0,0735
customer success;2024-12-01;697211;R$ 664526;-32685;-0,0469
