Department;Month;Budget;Actual;Variance;Variance_pct
Finance;01-01-2024;204546;215530;10984;0,0537
Finance;2024-02-01;160450;150362;-10088;-0,0629
Finance;2024-03-01;217501;R$ 217821;320;0,0015
Finance;2024-04-01;242694;251248;8554;0,0352
Finance;01/05/2024;22781;24250;1469;0,0645
finance;06-01-2024;124695;120788;-3907;-0,0313
Finance;01/07/2024;74922;71149;-3773;-0,0504
finance;08-01-2024;439148;455838;16690;0,038
Finance;01/09/2024;171698;181263;9565;0,0557
finance;2024-10-01;1107759;1077583;-30176;-0,0272
Finance;2024-11-01;137497;127502;-9995;-0,0727
  FINANCE  ;01/12/2024;458038;R$ 494357;36319;0,0793
