Department;Month;Budget;Actual;Variance;Variance_pct
HR;2024-01-01;176168;R$ 180398;4230;0,024
hr;2024-02-01;331631;353804;22173;0,0669
hr;2024-03-01;1111570;1172329;60759;0,0547
  HR  ;2024-04-01;133849;R$ 126297;-7552;-0,0564
HR;01/05/2024;246601;264025;17424;0,0707
HR;2024-06-01;657601;662257;4656;0,0071
hr;01/07/2024;121277;127988;6711;0,0553
  HR  ;2024-08-01;37393;40058;2665;0,0713
hr;2024-09-01;159710;154478;-5232;-0,0328
hr;2024-10-01;82067;76306;-5761;-0,0702
HR;11-01-2024;1239326;1178634;-60692;-0,049
  HR  ;12-01-2024;770631;760519;-10112;-0,0131
