Department;Month;Budget;Actual;Variance;Variance_pct
IT;01-01-2024;107335;116922;9587;0,0893
IT;02-01-2024;267622;R$ 290042;22420;0,0838
IT;03-01-2024;165729;R$ 167467;1738;0,0105
IT;01/04/2024;195575;209045;13470;0,0689
  IT  ;01/05/2024;34520;32585;-1935;-0,0561
  IT  ;06-01-2024;114751;110183;-4568;-0,0398
IT;01/07/2024;175143;181459;6316;0,0361
IT;01/08/2024;38190;R$ 40573;2383;0,0624
  IT  ;01/09/2024;28305;R$ 30120;1815;0,0641
it;2024-10-01;592649;582462;-10187;-0,0172
  IT  ;11-01-2024;106995;114463;7468;0,0698
IT;12-01-2024;44481;47290;2809;0,0632
