Department;Month;Budget;Actual;Variance;Variance_pct
Marketing;01-01-2024;1310207;1353427;43220;0.033
marketing;2024-02-01;201517;205506;3989;0.0198
Marketing;2024-03-01;629971;667753;37782;0.06
Marketing;2024-04-01;365478;R$ 343989;-21489;-0.0588
Marketing;2024-05-01;191888;R$ 188125;-3763;-0.0196
marketing;2024-06-01;4280;4035;-245;-0.0572
Marketing;2024-07-01;913634;955629;41995;0.046
  MARKETING  ;08-01-2024;265515;R$ 261937;-3578;-0.0135
Marketing;09-01-2024;156015;147813;-8202;-0.0526
  MARKETING  ;2024-10-01;5158;5220;62;0.012
Marketing;01/11/2024;84135;77037;-7098;-0.0844
Marketing;2024-12-01;88385;R$ 93830;5445;0.0616
