Department;Month;Budget;Actual;Variance;Variance_pct
Operations;2024-01-01;936211;899294;-36917;-0.0394
  OPERATIONS  ;02-01-2024;751664;757440;5776;0.0077
Operations;03-01-2024;304068;284414;-19654;-0.0646
Operations;04-01-2024;850883;R$ 897167;46284;0.0544
Operations;2024-05-01;30924;28555;-2369;-0.0766
operations;2024-06-01;72803;R$ 79183;6380;0.0876
operations;2024-07-01;15447;16203;756;0.0489
Operations;2024-08-01;131343;124220;-7123;-0.0542
Operations;01/09/2024;164250;R$ 149630;-14620;-0.089
Operations;01/10/2024;105653;111652;5999;0.0568
Operations;01/11/2024;588928;R$ 610856;21928;0.0372
operations;2024-12-01;147261;R$ 153331;6070;0.0412
