Department;Month;Budget;Actual;Variance;Variance_pct
R&D;01-01-2024;32179;32018;-161;-0,005
R&D;01/02/2024;185677;172963;-12714;-0,0685
  R&D  ;01/03/2024;51513;R$ 53490;1977;0,0384
r&d;01/04/2024;831785;R$ 870830;39045;0,0469
  R&D  ;05-01-2024;408379;412883;4504;0,011
  R&D  ;01/06/2024;168077;176274;8197;0,0488
R&D;2024-07-01;27468;27437;-31;-0,0011
r&d;2024-08-01;155809;156446;637;0,0041
R&D;01/09/2024;164520;R$ 162374;-2146;-0,013
R&D;01/10/2024;547074;500340;-46734;-0,0854
R&D;2024-11-01;424520;R$ 394557;-29963;-0,0706
  R&D  ;12-01-2024;912818;835828;-76990;-0,0843
