Department,Month,Budget,Actual,Variance,Variance_pct
Sales,2024-01-01,284101,267910,-16191,-0.057
  SALES  ,01/02/2024,52786,50926,-1860,-0.0352
sales,2024-03-01,52777,53012,235,0.0045
Sales,2024-04-01,18621,R$ 18392,-229,-0.0123
Sales,2024-05-01,625881,602361,-23520,-0.0376
Sales,2024-06-01,286012,291770,5758,0.0201
Sales,01/07/2024,383156,358292,-24864,-0.0649
Sales,08-01-2024,6473,6230,-243,-0.0375
  SALES  ,2024-09-01,1090283,1064056,-26227,-0.0241
Sales,10-01-2024,555924,551528,-4396,-0.0079
sales,2024-11-01,74278,R$ 78090,3812,0.0513
Sales,01/12/2024,62450,59074,-3376,-0.0541
